;;;;;;;; 20 202 ;;;;
Tid;Varenr;GTIN;Varetekst;Batchnummer;Årsak;Type;Til SSCC;Endring primær;Beholdn. primær;Bestillingsnr;Best før;Lastebærer
23.04.2025 10:53;885871;7037619050327;LASAGNE FAMILIEPAKNING;2749936;Varemottak;Registrering;370376100451529748;115;115.00 D-pak;2600015470;14.02.2027;NLP Plastpall 1/1 Grå
23.04.2025 10:54;885871;7037619050327;LASAGNE FAMILIEPAKNING;2749936;Varemottak;Registrering;370376100451530126;115;115.00 D-pak;2600015470;14.02.2027;NLP Plastpall 1/1 Grå
28.04.2025 11:53;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451667525;115;115.00 D-pak;2600016976;24.02.2027;NLP Plastpall 1/1 Grå
28.04.2025 11:53;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451679436;115;115.00 D-pak;2600016976;24.02.2027;NLP Plastpall 1/1 Grå
28.04.2025 11:56;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451689954;115;115.00 D-pak;2600016976;24.02.2027;NLP Plastpall 1/1 Grå
28.04.2025 11:57;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451675384;115;115.00 D-pak;2600016976;24.02.2027;NLP Plastpall 1/1 Grå
05.05.2025 10:58;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451695764;115;115.00 D-pak;2600019460;24.02.2027;NLP Plastpall 1/1 Grå
12.05.2025 12:30;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451691575;115;115.00 D-pak;2600021386;24.02.2027;NLP Plastpall 1/1 Grå
12.05.2025 12:33;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451679078;115;115.00 D-pak;2600021386;24.02.2027;NLP Plastpall 1/1 Grå
19.05.2025 11:03;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451658011;115;115.00 D-pak;2600023699;24.02.2027;NLP Plastpall 1/1 Grå
19.05.2025 12:27;885871;7037619050327;LASAGNE FAMILIEPAKNING;2752764;Varemottak;Registrering;370376100451675827;115;115.00 D-pak;2600023699;24.02.2027;NLP Plastpall 1/1 Grå
