dato,faktisk_ettersporsel,is_crazy_days,is_event,lag_1,lag_5,lag_10,rolling_mean_5,ukedag,is_monday,month,week_of_month,days_since_last_order,day_0,day_1,day_2,day_3,day_4,pred_naive,pred_hw,pred_sarima,pred_rf,pred_rf_uten_lag1,pred_gbm,pred_hybrid_kamp,pred_hybrid_terskel,res_naive,res_hw,res_sarima,res_rf,res_rf_uten_lag1,res_gbm,res_hybrid_kamp,res_hybrid_terskel
2026-01-01,0,0,0,0.0,0.0,23.0,12.8,3,0,1,1,1,False,False,False,True,False,0.0,-26.925551623718064,-13.999730591306893,21.4,30.22,15.36985247173719,-13.999730591306893,-13.999730591306893,0.0,26.925551623718064,13.999730591306893,-21.4,-30.22,-15.36985247173719,13.999730591306893,13.999730591306893
2026-01-02,9,0,0,0.0,0.0,44.0,12.8,4,0,1,1,1,False,False,False,False,True,0.0,-49.413742186519556,-49.56815804426019,23.73,33.32,19.151149676867586,-49.56815804426019,-49.56815804426019,9.0,58.413742186519556,58.56815804426019,-14.73,-24.32,-10.151149676867586,58.56815804426019,58.56815804426019
2026-01-05,76,0,0,9.0,30.0,37.0,14.6,0,1,1,1,3,True,False,False,False,False,30.0,18.611831518587273,18.4358460333656,52.38,46.91,37.821265285963754,18.4358460333656,18.4358460333656,46.0,57.38816848141273,57.5641539666344,23.619999999999997,29.090000000000003,38.178734714036246,57.5641539666344,57.5641539666344
2026-01-06,36,0,0,76.0,34.0,18.0,23.8,1,0,1,1,1,False,True,False,False,False,34.0,-2.5298850504385975,-0.9445755816259478,51.07,49.81,32.62784040255969,-0.9445755816259478,-0.9445755816259478,2.0,38.529885050438594,36.94457558162595,-15.07,-13.810000000000002,3.3721595974403087,36.94457558162595,36.94457558162595
2026-01-07,138,0,0,36.0,0.0,0.0,24.2,2,0,1,1,1,False,False,True,False,False,0.0,-2.482564044231438,0.3967595490531366,48.42,54.53,18.3212538927888,0.3967595490531366,0.3967595490531366,138.0,140.48256404423142,137.60324045094686,89.58,83.47,119.6787461072112,137.60324045094686,137.60324045094686
2026-01-08,30,0,0,138.0,0.0,0.0,51.8,3,0,1,2,1,False,False,False,True,False,0.0,-29.408116175294115,-26.18874634465857,48.04,39.17,33.01995043032678,-26.18874634465857,-26.18874634465857,30.0,59.40811617529411,56.18874634465857,-18.04,-9.170000000000002,-3.01995043032678,56.18874634465857,56.18874634465857
2026-01-09,4,0,0,30.0,9.0,0.0,57.8,4,0,1,2,1,False,False,False,False,True,9.0,-51.8963067380956,-48.988060149382875,50.13,38.01,30.773189656235967,-48.988060149382875,-48.988060149382875,-5.0,55.8963067380956,52.988060149382875,-46.13,-34.01,-26.773189656235967,52.988060149382875,52.988060149382875
2026-01-12,20,0,0,4.0,76.0,30.0,56.8,0,1,1,2,3,True,False,False,False,False,76.0,16.12926696701122,19.015943928242905,106.04,116.09,60.86661002526993,19.015943928242905,116.09,-56.0,3.870733032988781,0.9840560717570952,-86.04,-96.09,-40.86661002526993,0.9840560717570952,-96.09
2026-01-13,34,0,0,20.0,36.0,34.0,45.6,1,0,1,2,1,False,True,False,False,False,36.0,-5.012449602014648,-0.3644776867486357,27.55,40.73,30.843006061562424,-0.3644776867486357,-0.3644776867486357,-2.0,39.01244960201465,34.364477686748636,6.449999999999999,-6.729999999999997,3.1569939384375765,34.364477686748636,34.364477686748636
2026-01-14,20,0,0,34.0,138.0,0.0,45.2,2,0,1,2,1,False,False,True,False,False,138.0,-4.965128595807489,0.9768574439304487,37.57,30.25,25.462888888620654,0.9768574439304487,0.9768574439304487,-118.0,24.96512859580749,19.02314255606955,-17.57,-10.25,-5.462888888620654,19.02314255606955,19.02314255606955
