Modell,Segment,MAE,MAPE,sMAPE,WAPE,Bias
Seasonal Naive,Alle testdager,227.11904761904762,1913.198912770418,122.17642211773668,129.35991320857065,-0.5952380952380952
Holt-Winters,Alle testdager,198.71277791590663,477.45485523211346,182.2308067929966,113.18058953713152,-198.56044416539675
SARIMA (exog),Alle testdager,173.30052300716378,368.9177452994695,163.76451537919496,98.70656314484512,-170.53461386719238
Random Forest,Alle testdager,194.9566666666667,1281.223569067486,106.52717483671057,111.04122592893953,144.38666666666668
RF uten lag_1,Alle testdager,173.96547619047618,1445.5425463786632,107.18391254286936,99.08529970165445,40.9954761904762
Gradient Boosting,Alle testdager,285.39213198801616,1616.5971657019363,106.2479473219049,162.5504413275926,244.7525144426785
Hybrid (kampanje),Alle testdager,178.73964931208198,370.82490858292465,159.52387819878575,101.8045195430898,-118.15374017211057
Hybrid (terskel),Alle testdager,181.24246728001873,1307.3582605679012,144.35807201839012,103.23004645729301,11.101405245172609
Seasonal Naive,Normale dager,172.1851851851852,2973.138835815752,117.25588918598537,1139.4607843137255,161.59259259259258
Holt-Winters,Normale dager,38.45288574273642,689.1930196617853,175.77882571525964,254.4676262386969,-38.21592213083219
SARIMA (exog),Normale dager,29.400980896453053,526.5734108524821,163.741268895301,194.5653147559393,-25.098455567608628
Random Forest,Normale dager,67.0974074074074,1913.4035045411447,116.93272874186935,444.02696078431376,62.404074074074074
RF uten lag_1,Normale dager,108.6988888888889,2244.254332752775,129.87478143601726,719.3308823529412,106.46851851851852
Gradient Boosting,Normale dager,76.738268226599,2397.5250417785546,105.2930715070228,507.82677502896394,71.14490672291721
Hybrid (kampanje),Normale dager,29.400980896453053,526.5734108524821,163.741268895301,194.5653147559393,-25.098455567608628
Hybrid (terskel),Normale dager,111.18257488195951,2019.4340516363886,173.25748680560875,735.7670396600262,68.80270830537516
Seasonal Naive,Toppdager,326.0,75.96971282517279,130.7053458661056,70.19810508182601,-292.53333333333336
Holt-Winters,Toppdager,487.18058382761313,110.44203688734918,193.84437273292312,104.90537980784089,-487.18058382761313
SARIMA (exog),Toppdager,432.319698806443,95.64792500758085,163.80635905020415,93.09209707287748,-432.319698806443
Random Forest,Toppdager,425.10333333333335,185.44501424647825,87.7971778074248,91.538185472294,291.95533333333333
RF uten lag_1,Toppdager,291.4453333333334,61.108783330202385,66.34034853520318,62.757393051966716,-76.85599999999998
Gradient Boosting,Toppdager,660.969086758567,262.98884716913165,107.96672378869265,142.32753806170692,557.2462083382488
Hybrid (kampanje),Toppdager,447.549252460214,100.86083798235819,151.9325749450583,96.37150139108829,-285.65325246021405
Hybrid (terskel),Toppdager,307.35027359652526,73.09355604918882,92.3391254013966,66.18222945661613,-92.760940263192
