order,seasonal_order,aic,bic,konvergerte
"(1, 0, 2)","(0, 1, 1, 5)",2480.871989853148,2503.7829867630944,False
"(1, 0, 2)","(1, 1, 1, 5)",2482.4309974974503,2508.6149939659604,False
"(2, 0, 2)","(1, 1, 1, 5)",2487.99875918562,2517.455755212694,False
"(0, 1, 2)","(0, 1, 1, 5)",2510.062489994574,2529.6696389489543,True
"(0, 1, 2)","(1, 1, 1, 5)",2511.958480615105,2534.8334877285483,True
"(0, 0, 2)","(0, 1, 1, 5)",2516.5689723986525,2536.206969750035,False
"(2, 1, 2)","(1, 1, 1, 5)",2523.7881186580917,2553.1988420896614,False
"(1, 1, 2)","(0, 1, 1, 5)",2528.3404265906074,2551.2154337040506,False
"(2, 1, 2)","(0, 1, 1, 5)",2529.384950758603,2555.5278160311095,False
"(2, 0, 2)","(0, 0, 1, 5)",2529.6369450517877,2556.023483984172,False
"(2, 0, 0)","(1, 1, 1, 5)",2530.844010314441,2553.790812929055,False
"(2, 0, 2)","(1, 0, 1, 5)",2531.2610916731337,2560.945947972066,False
"(1, 1, 2)","(1, 1, 1, 5)",2533.9735708143608,2560.1164360868675,True
"(2, 0, 2)","(1, 1, 0, 5)",2534.856856043687,2561.0817733175313,False
"(1, 0, 2)","(0, 0, 1, 5)",2537.936399867596,2561.024621433432,True
"(1, 0, 2)","(1, 0, 1, 5)",2539.407134746635,2565.7936736790193,False
"(1, 0, 1)","(0, 1, 1, 5)",2539.573936111622,2559.242624067005,False
"(2, 0, 2)","(1, 0, 0, 5)",2540.8712765577466,2567.2977158222193,False
"(1, 0, 1)","(1, 1, 1, 5)",2541.7160764846703,2564.662879099284,False
"(2, 0, 0)","(0, 1, 1, 5)",2542.022709002798,2561.7219313752257,False
"(0, 0, 2)","(1, 1, 1, 5)",2547.177439139832,2570.0884360497785,False
"(1, 0, 2)","(1, 1, 0, 5)",2551.506092545642,2574.4885186468077,True
"(2, 1, 0)","(1, 1, 1, 5)",2553.211255232969,2576.1222521429154,True
"(2, 0, 2)","(0, 1, 1, 5)",2554.7550528848888,2580.939049353399,False
"(1, 1, 1)","(1, 1, 1, 5)",2558.271469222651,2581.1824661325973,False
"(0, 1, 1)","(0, 1, 1, 5)",2559.782674486003,2576.147672278822,True
"(1, 0, 0)","(0, 1, 1, 5)",2560.021913933603,2576.437932577293,True
"(2, 1, 2)","(0, 0, 1, 5)",2561.006889336175,2587.353327933971,True
"(0, 1, 1)","(1, 1, 1, 5)",2561.187967916714,2580.8259652680968,True
"(1, 0, 2)","(1, 0, 0, 5)",2561.592864474762,2584.7507383565703,False
"(1, 0, 0)","(1, 1, 1, 5)",2561.684933129416,2581.384155501844,True
"(1, 1, 1)","(0, 1, 1, 5)",2561.988838240988,2581.6268355923708,True
"(2, 1, 1)","(0, 1, 1, 5)",2562.4475812630803,2585.3585781730267,False
"(1, 1, 0)","(0, 1, 1, 5)",2562.641141300358,2579.0317145965105,True
"(2, 1, 2)","(1, 0, 1, 5)",2562.994527165536,2592.6342705880566,False
"(2, 1, 0)","(0, 1, 1, 5)",2563.5065709367327,2583.175258892116,True
"(1, 1, 0)","(1, 1, 1, 5)",2564.6226151764163,2584.2913031317994,True
"(2, 1, 1)","(1, 1, 1, 5)",2565.5074450771144,2591.6914415456245,False
"(0, 1, 0)","(0, 1, 1, 5)",2566.502667096344,2579.615125733266,True
"(2, 0, 1)","(1, 1, 0, 5)",2566.9374519563908,2589.8842545710045,False
"(0, 1, 0)","(1, 1, 1, 5)",2567.8994847791673,2584.29005807532,True
"(0, 1, 2)","(0, 0, 1, 5)",2567.946303691384,2587.706132639731,True
"(0, 1, 2)","(1, 0, 1, 5)",2568.7087568018405,2591.761890574912,False
"(1, 1, 2)","(0, 0, 1, 5)",2569.209446108096,2592.2625798811673,False
"(2, 0, 1)","(1, 1, 1, 5)",2569.8940489262422,2596.1189662000866,False
"(2, 1, 2)","(1, 0, 0, 5)",2570.7892393057778,2597.175778238162,False
"(2, 0, 1)","(0, 1, 1, 5)",2570.9911255685815,2593.9379281831953,False
"(1, 1, 2)","(1, 0, 1, 5)",2571.6550825094396,2598.0015211072355,False
"(2, 0, 1)","(1, 0, 0, 5)",2575.512350678213,2598.6354850346265,True
"(2, 1, 1)","(1, 0, 0, 5)",2576.3266794130122,2599.4149009788484,True
"(2, 0, 1)","(1, 0, 1, 5)",2576.734000098681,2603.1604393631537,True
"(2, 0, 0)","(1, 1, 0, 5)",2577.1569625594957,2596.825650514879,True
"(0, 0, 2)","(0, 0, 1, 5)",2577.7257234293993,2597.5156276286875,False
"(2, 0, 1)","(0, 0, 1, 5)",2578.147145323075,2601.270279679489,True
"(2, 1, 2)","(1, 1, 0, 5)",2579.183129268614,2605.367125737124,False
"(0, 0, 2)","(1, 0, 1, 5)",2581.388072889725,2604.4762944555614,False
"(2, 0, 0)","(1, 0, 1, 5)",2584.4973091008305,2607.620443457244,False
"(2, 0, 0)","(1, 0, 0, 5)",2584.5102007622763,2604.330030210631,True
"(2, 0, 2)","(0, 0, 0, 5)",2588.6880074666315,2611.9490773206003,False
"(0, 1, 2)","(1, 1, 0, 5)",2591.293455967082,2610.99267833951,False
"(1, 1, 2)","(1, 0, 0, 5)",2593.376264119084,2616.499398475498,True
"(1, 0, 2)","(0, 0, 0, 5)",2594.766890742847,2614.7049506176772,True
"(1, 0, 1)","(0, 0, 1, 5)",2596.1036663498817,2615.923495798236,True
"(1, 0, 1)","(1, 0, 1, 5)",2596.9535716022892,2620.076705958703,True
"(2, 0, 0)","(0, 0, 1, 5)",2597.5210575395117,2617.370663723919,True
"(1, 1, 2)","(1, 1, 0, 5)",2603.5908138837426,2626.5376164983563,False
