dato,faktisk_ettersporsel,is_crazy_days,is_event,lag_1,lag_5,lag_10,rolling_mean_5,ukedag,is_monday,month,week_of_month,days_since_last_order,day_0,day_1,day_2,day_3,day_4,s1_naive,s2_naive,s1_hw,s2_hw,s1_sarima,s1_rf,s1_rf_uten_lag1,s1_gbm,s2_sarima,s2_rf,s2_rf_uten_lag1,s2_gbm,s2_hybrid_kamp,s2_hybrid_terskel
2026-01-01,0,0,0,0.0,0.0,23.0,12.8,3,0,1,1,1,False,False,False,True,False,0.0,0.0,-26.925551623718064,-26.925551623718064,8.383874132549927,20.64,29.67,15.369852471737197,-13.999730591306893,20.81,28.96,15.36985247173719,-13.999730591306893,-13.999730591306893
2026-01-02,9,0,0,0.0,0.0,44.0,12.8,4,0,1,1,1,False,False,False,False,True,0.0,0.0,-49.413742186519556,-49.413742186519556,-6.92844017278951,21.45,32.86,19.151149676867586,-49.56815804426019,21.29,32.27,19.151149676867583,-49.56815804426019,-49.56815804426019
2026-01-05,76,0,0,9.0,30.0,37.0,14.6,0,1,1,1,3,True,False,False,False,False,30.0,30.0,18.611831518587273,18.611831518587273,78.94356455674382,44.51,46.01,37.82126528596376,18.4358460333656,48.24,47.34,37.82126528596376,18.4358460333656,18.4358460333656
2026-01-06,36,0,0,76.0,34.0,18.0,23.8,1,0,1,1,1,False,True,False,False,False,34.0,34.0,-2.5298850504385975,-2.5298850504385975,72.15950368595472,50.87,49.02,32.62784040255967,-0.9445755816259478,53.4,48.89,32.62784040255969,-0.9445755816259478,-0.9445755816259478
2026-01-07,138,0,0,36.0,0.0,0.0,24.2,2,0,1,1,1,False,False,True,False,False,0.0,0.0,-2.482564044231438,-2.482564044231438,77.81673448117681,52.27,57.39,18.3212538927888,0.3967595490531366,46.25,48.21,18.321253892788796,0.3967595490531366,0.3967595490531366
2026-01-08,30,0,0,138.0,0.0,0.0,51.8,3,0,1,2,1,False,False,False,True,False,0.0,0.0,-29.408116175294115,-29.408116175294115,50.718183603801954,43.3,47.64,33.01995043032678,-26.18874634465857,52.24,36.35,33.01995043032678,-26.18874634465857,-26.18874634465857
2026-01-09,4,0,0,30.0,9.0,0.0,57.8,4,0,1,2,1,False,False,False,False,True,9.0,9.0,-51.8963067380956,-51.8963067380956,25.894102134746728,43.92,40.15,30.77318965623596,-48.988060149382875,48.52,35.83,30.773189656235964,-48.988060149382875,-48.988060149382875
2026-01-12,20,0,0,4.0,76.0,30.0,56.8,0,1,1,2,3,True,False,False,False,False,76.0,76.0,16.12926696701122,16.12926696701122,92.63133214598032,109.8,120.21,60.86661002526993,19.015943928242905,110.45,117.06,60.86661002526993,19.015943928242905,117.06
2026-01-13,34,0,0,20.0,36.0,34.0,45.6,1,0,1,2,1,False,True,False,False,False,36.0,36.0,-5.012449602014648,-5.012449602014648,73.34813723292598,28.23,40.03,30.843006061562424,-0.3644776867486357,28.16,39.98,30.84300606156242,-0.3644776867486357,-0.3644776867486357
2026-01-14,20,0,0,34.0,138.0,0.0,45.2,2,0,1,2,1,False,False,True,False,False,138.0,138.0,-4.965128595807489,-4.965128595807489,74.69082739490783,34.71,31.69,25.462888888620654,0.9768574439304487,32.78,31.48,25.462888888620654,0.9768574439304487,0.9768574439304487
2026-01-15,5,0,0,20.0,30.0,0.0,21.6,3,0,1,3,1,False,False,False,True,False,30.0,30.0,-31.890680726870166,-31.890680726870166,47.859139387265465,35.15,45.12,23.677029425181548,-25.608648449781256,39.49,45.66,23.67702942518156,-25.608648449781256,-25.608648449781256
2026-01-16,1,0,0,5.0,4.0,9.0,16.6,4,0,1,3,1,False,False,False,False,True,4.0,4.0,-54.37887128967165,-54.37887128967165,24.534459140141525,18.78,28.9,15.975125517115057,-48.40796225450556,18.12,26.83,15.97512551711505,-48.40796225450556,-48.40796225450556
2026-01-19,61,0,0,1.0,20.0,76.0,16.0,0,1,1,3,3,True,False,False,False,False,20.0,20.0,13.646702415435172,13.646702415435172,92.39368870531325,34.09,40.3,32.47402863018882,19.596041823120217,34.31,38.89,32.47402863018881,19.596041823120217,19.596041823120217
2026-01-20,10,0,0,61.0,34.0,36.0,24.2,1,0,1,3,1,False,True,False,False,False,34.0,34.0,-7.495014153590699,-7.495014153590699,73.56282452124861,45.35,45.03,36.409137607690084,0.21562020812867644,43.73,47.12,36.4091376076901,0.21562020812867644,0.21562020812867644
2026-01-21,13,0,0,10.0,20.0,138.0,19.4,2,0,1,3,1,False,False,True,False,False,20.0,20.0,-7.447693147383539,-7.447693147383539,74.9336705589556,21.95,37.06,19.75642272224545,1.5569553388077608,22.79,38.73,19.756422722245443,1.5569553388077608,1.5569553388077608
2026-01-22,237,0,0,13.0,5.0,30.0,18.0,3,0,1,4,1,False,False,False,True,False,5.0,5.0,-34.37324527844621,-34.37324527844621,47.98976865639618,24.01,40.91,19.75642272224545,-25.028550554903944,22.59,38.72,19.756422722245443,-25.028550554903944,-25.028550554903944
2026-01-23,76,0,0,237.0,1.0,4.0,64.4,4,0,1,4,1,False,False,False,False,True,1.0,1.0,-56.861435841247705,-56.861435841247705,24.566778859106222,930.76,76.17,1558.4435591087386,-47.82786435962825,1095.81,78.29,1484.6934026285323,-47.82786435962825,78.29
2026-01-26,394,1,0,76.0,61.0,20.0,79.4,0,1,1,4,3,True,False,False,False,False,61.0,61.0,11.164137863859118,11.164137863859118,92.38066526723571,122.55,114.51,91.02832026974812,150.61826229332826,126.25,120.12,91.02832026974812,120.12,120.12
2026-01-27,341,1,0,394.0,10.0,34.0,146.0,1,0,1,4,1,False,True,False,False,False,10.0,10.0,-9.977578705166753,-9.977578705166753,73.54275851059492,1114.11,679.76,1746.3090635097897,131.2378406783367,1140.4,640.13,1746.3090635097897,640.13,640.13
2026-01-28,340,1,0,341.0,13.0,20.0,212.2,2,0,1,4,1,False,False,True,False,False,13.0,13.0,-9.93025769895959,-9.93025769895959,74.92147153249682,1147.97,643.21,1751.0701617806694,132.5791758090158,1172.24,594.84,1751.0701617806694,594.84,594.84
2026-01-29,621,1,0,340.0,237.0,5.0,277.6,3,0,1,5,1,False,False,False,True,False,237.0,237.0,-36.85580983002227,-36.85580983002227,47.98597207082327,1021.2,339.73,1327.716977312,105.9936699153041,944.05,356.07,1529.9766409223546,356.07,356.07
2026-01-30,444,1,0,621.0,76.0,1.0,354.4,4,0,1,5,1,False,False,False,False,True,76.0,76.0,-59.34400039282376,-59.34400039282376,24.567371354651858,918.57,1098.23,1553.780329088081,83.19435611057979,1067.33,1070.3,1480.0301726078749,1070.3,1070.3
2026-02-02,1314,0,0,444.0,394.0,61.0,428.0,0,1,2,1,3,True,False,False,False,False,394.0,394.0,8.68157331228307,8.68157331228307,92.38227127800236,1090.27,510.22,1381.2085742692268,20.75623761287484,1040.56,502.46,1583.4682378795815,20.75623761287484,502.46
2026-02-03,1378,0,0,1314.0,341.0,10.0,612.0,1,0,2,1,1,False,True,False,False,False,341.0,341.0,-12.4601432567428,-12.4601432567428,73.54386891428405,1248.49,456.2,1327.716977312,1.3758159978833007,1230.85,469.04,1529.9766409223546,1.3758159978833007,469.04
2026-02-04,674,0,0,1378.0,340.0,13.0,819.4,2,0,2,1,1,False,False,True,False,False,340.0,340.0,-12.41282225053564,-12.41282225053564,74.92188280584818,1292.69,553.26,1327.716977312,2.717151128562385,1254.2,599.98,1529.9766409223546,2.717151128562385,599.98
2026-02-05,516,0,0,674.0,621.0,237.0,886.2,3,0,2,1,1,False,False,False,True,False,621.0,621.0,-39.338374381598314,-39.338374381598314,47.98597078132216,966.85,699.03,1364.7666426828887,-23.86835476514932,913.99,632.31,1567.0263062932434,-23.86835476514932,632.31
2026-02-06,298,0,0,516.0,444.0,76.0,865.2,4,0,2,1,1,False,False,False,False,True,444.0,444.0,-61.826564944399806,-61.826564944399806,24.56724777873679,822.83,633.04,1172.1400400109583,-46.667668569873626,938.86,648.69,1300.6495471411058,-46.667668569873626,648.69
2026-02-09,3,0,0,298.0,1314.0,394.0,836.0,0,1,2,2,3,True,False,False,False,False,1314.0,1314.0,6.199008760707017,6.199008760707017,92.38217263725075,1058.64,532.6,1381.2085742692268,21.336335507752153,1015.03,595.32,1583.4682378795815,21.336335507752153,595.32
2026-02-10,22,0,0,3.0,1378.0,341.0,573.8,1,0,2,2,1,False,True,False,False,False,1378.0,1378.0,-14.942707808318854,-14.942707808318854,73.54382669114193,38.95,553.59,32.77527031928176,1.9559138927606128,40.81,487.37,32.77527031928175,1.9559138927606128,487.37
